UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XCMPFEE1,CMPFEE1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XCMPFEE2,CMPFEE2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XCMPFEE3,CMPFEE3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,XCMP1AY0,CMP1AY0,XCMP1AY1,CMP1AY1,XCMP1AY2,CMP1AY2,XCMP1AY3,CMP1AY3,CMP1GTD,XCMP2AY0,CMP2AY0,XCMP2AY1,CMP2AY1,XCMP2AY2,CMP2AY2,XCMP2AY3,CMP2AY3,CMP2GTD,XCMP3AY0,CMP3AY0,XCMP3AY1,CMP3AY1,XCMP3AY2,CMP3AY2,XCMP3AY3,CMP3AY3,CMP3GTD ,(none)
100636,R,0,R,0,R,0,A,.,R,0,Z,0,R,0,A,.,R,0,Z,0,R,0,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,.,.,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,.,.,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,.,.,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
100654,R,4872,R,928,R,203,A,.,R,4872,R,928,R,203,A,.,R,9744,R,928,R,406,A,.,R,5562,R,928,R,309,R,5562,R,928,R,309,R,11124,R,928,R,618,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,3432,R,640,R,4072,R,3432,R,640,R,4072,R,3948,R,744,R,4692,R,4872,R,928,R,5800,.,.,R,3432,R,640,R,4072,R,3432,R,640,R,4072,R,3948,R,744,R,4692,R,4872,R,928,R,5800,.,.,R,6864,R,640,R,7504,R,6864,R,640,R,7504,R,7894,R,744,R,8638,R,9744,R,928,R,10672,.,.,R,1800,R,1800,R,1800,R,1800,R,4770,R,4770,R,5350,R,5530,R,2600,R,2600,R,2080,R,2080,R,4770,R,4770,R,5530,R,5530,R,2600,R,2600,R,2080,R,2080,R,1300,R,1300,R,1300,R,1300,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
100663,R,5806,R,0,R,228,A,.,R,5806,R,0,R,228,A,.,R,13198,R,0,R,536,A,.,R,5482,R,0,R,286,R,5482,R,0,R,286,R,12430,R,0,R,672,Y,.,Y,.,Y,.,Y,.,R,19640,R,0,R,54760,R,0,R,20680,R,0,R,58590,R,0,R,19434,R,0,R,51420,R,0,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,3384,R,824,R,4208,R,3792,R,872,R,4664,R,4224,R,872,R,5096,R,5806,R,0,R,5806,.,.,R,3384,R,824,R,4208,R,3792,R,872,R,4664,R,4224,R,872,R,5096,R,5806,R,0,R,5806,.,.,R,8472,R,824,R,9296,R,9480,R,872,R,10352,R,10560,R,872,R,11432,R,13198,R,0,R,13198,.,.,R,900,R,900,R,1000,R,1000,R,8924,R,8924,R,8969,R,9470,R,3575,R,3750,R,4050,R,4050,R,8924,R,8924,R,8969,R,9470,R,3575,R,3750,R,4050,R,4050,R,3575,R,3750,R,4050,R,4050,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
100690,R,7560,R,800,R,315,A,.,R,7560,R,800,R,315,A,.,R,7560,R,800,R,315,A,.,R,10584,R,1200,R,588,R,10584,R,1200,R,588,R,10584,R,1200,R,588,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6240,R,0,R,6240,R,6600,R,800,R,7400,R,7200,R,800,R,8000,R,7560,R,800,R,8360,.,.,R,6240,R,0,R,6240,R,6600,R,800,R,7400,R,7200,R,800,R,8000,R,7560,R,800,R,8360,.,.,R,6240,R,0,R,6240,R,6600,R,800,R,7400,R,7200,R,800,R,8000,R,7560,R,800,R,8360,.,.,R,1350,R,1500,R,1500,R,1500,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9600,R,9600,R,9600,R,9600,R,1600,R,1600,R,1600,R,1600,R,1400,R,1600,R,1600,R,1680,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
100706,R,6352,R,1140,R,243,A,.,R,6352,R,1140,R,243,A,.,R,15250,R,2736,R,584,A,.,R,8330,R,912,R,393,R,8330,R,912,R,393,R,19993,R,2189,R,936,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,4346,R,870,R,5216,R,5052,R,900,R,5952,R,5580,R,930,R,6510,R,6352,R,1140,R,7492,.,.,R,4346,R,870,R,5216,R,5052,R,900,R,5952,R,5580,R,930,R,6510,R,6352,R,1140,R,7492,.,.,R,9284,R,1740,R,11024,R,11112,R,1980,R,13092,R,13396,R,2232,R,15628,R,15250,R,2736,R,17986,.,.,R,942,R,1042,R,1542,R,1542,R,6290,R,6576,R,7208,R,7540,R,2944,R,3306,R,3957,R,4017,R,6290,R,6576,R,7208,R,7540,R,2944,R,3306,R,3957,R,4017,R,2944,R,3306,R,3957,R,4017,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
100724,R,6312,R,852,R,263,A,.,R,6312,R,852,R,263,A,.,R,12624,R,852,R,526,A,.,R,7488,R,852,R,312,R,7488,R,852,R,312,R,14976,R,852,R,624,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,4008,R,500,R,4508,R,4608,R,852,R,5460,R,5616,R,852,R,6468,R,6312,R,852,R,7164,.,.,R,4008,R,500,R,4508,R,4608,R,852,R,5460,R,5616,R,852,R,6468,R,6312,R,852,R,7164,.,.,R,8016,R,500,R,8516,R,9216,R,852,R,10068,R,11232,R,852,R,12084,R,12624,R,852,R,13476,.,.,R,1000,R,1000,R,1600,R,1600,R,4150,R,4400,R,4600,R,4600,R,2310,R,2544,R,2544,R,2544,R,5625,R,7350,R,7350,R,7350,R,2310,R,3172,R,3172,R,3172,R,2820,R,3172,R,3172,R,3172,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
100751,R,7900,R,0,R,429,A,.,R,7900,R,0,R,429,A,.,R,20500,R,0,R,969,A,.,R,7900,R,0,R,470,R,7900,R,0,R,470,R,20500,R,0,R,1067,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,20680,R,0,R,58295,R,0,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,15760,R,0,R,28070,R,0,R,5700,R,0,R,5700,R,6400,R,0,R,6400,R,7000,R,0,R,7000,R,7900,R,0,R,7900,.,.,R,5700,R,0,R,5700,R,6400,R,0,R,6400,R,7000,R,0,R,7000,R,7900,R,0,R,7900,.,.,R,16518,R,0,R,16518,R,18000,R,0,R,18000,R,19200,R,0,R,19200,R,20500,R,0,R,20500,.,.,R,950,R,1000,R,1100,R,1100,R,8950,R,9842,R,10400,R,10206,R,3002,R,3254,R,3065,R,2475,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
100760,R,2700,R,570,R,90,A,.,R,2700,R,570,R,90,A,.,R,5400,R,570,R,180,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,2130,R,570,R,2700,R,2130,R,570,R,2700,R,2130,R,570,R,2700,R,2700,R,570,R,3270,.,.,R,2130,R,570,R,2700,R,2130,R,570,R,2700,R,2130,R,570,R,2700,R,2700,R,570,R,3270,.,.,R,4260,R,570,R,4830,R,4260,R,570,R,4830,R,4260,R,570,R,4830,R,5400,R,570,R,5970,.,.,R,800,R,800,R,800,R,1247,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6400,R,6400,R,6400,R,6400,R,1075,R,1075,R,1075,R,1488,R,1000,R,1000,R,1000,R,1000,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
100812,R,4110,R,750,R,137,A,.,R,4110,R,750,R,137,A,.,R,8220,R,750,R,274,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
100830,R,6180,R,440,R,206,A,.,R,6180,R,440,R,206,A,.,R,18540,R,440,R,618,A,.,R,5928,R,392,R,247,R,5928,R,392,R,247,R,18540,R,392,R,741,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,4740,R,270,R,5010,R,5310,R,270,R,5580,R,5640,R,330,R,5970,R,6180,R,440,R,6620,.,.,R,4740,R,270,R,5010,R,5310,R,270,R,5580,R,5640,R,330,R,5970,R,6180,R,440,R,6620,.,.,R,14220,R,270,R,14490,R,15930,R,270,R,16200,R,16920,R,330,R,17250,R,18540,R,440,R,18980,.,.,R,800,R,900,R,900,R,1000,R,4890,R,5025,R,5352,R,5380,R,2150,R,2760,R,2810,R,2860,R,6890,R,7790,R,7790,R,7790,R,2600,R,2760,R,2810,R,2860,R,2150,R,2760,R,2810,R,2860,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,
